Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access,InitialTime_s
HOTREE,yelp,262144,1,2.26728,2.79043,4.10394e+06,4096,5.98167,0,61.5512
HOTREE,tweets,262144,1,1.85845,2.41743,3.93721e+06,4096,5.21774,0,29.2389
HOTREE,foursquare,262144,1,1.38969,2.17586,3.91838e+06,4096,4.70617,0,19.0245
