Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access,InitialTime_s
HOTREE,yelp,16384,1,0.62095,1.35726,213020,4096,3.2188,0,3.31245
HOTREE,yelp,16384,2,0.457817,1.44957,119029,4096,3.38462,0,3.28623
HOTREE,yelp,16384,3,0.566379,2.14359,169847,4096,4.72308,0,3.09772
HOTREE,yelp,16384,4,0.528206,2.35959,191558,4096,5.11644,0,3.00707
HOTREE,yelp,16384,5,0.591535,2.52564,223074,4096,5.41026,0,3.06102
HOTREE,yelp,16384,6,0.729791,3.41026,278948,4096,7.17949,0,3.01324
