Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access,InitialTime_s
HOTREE,yelp,262144,1,2.01584,1.91794,1.92805e+06,4096,4.31113,0,62.4206
HOTREE,tweets,262144,1,1.50196,1.76227,1.87297e+06,4096,3.94253,0,28.1636
HOTREE,foursquare,262144,1,1.46308,1.41811,1.85877e+06,4096,3.35158,0,19.4098
